id,name,uri,category
n102,revenue,https://dmast.eu/vc6#revenue,Property
n103,rework count,https://dmast.eu/vc6#reworkCount,Property
n104,route,https://dmast.eu/vc6#route,Property
n105,customer satisfaction score,https://dmast.eu/vc6#satisfactionScore,Property
n106,start date,https://dmast.eu/vc6#startDate,Property
n107,status,https://dmast.eu/vc6#status,Property
n108,stocks product,https://dmast.eu/vc6#stocksProduct,Property
n109,storage capacity (kWh),https://dmast.eu/vc6#storageCapacityKWh,Property
n110,support cost,https://dmast.eu/vc6#supportCost,Property
n111,tariff (EUR/kWh),https://dmast.eu/vc6#tariffEURperKWh,Property
n112,to warehouse location,https://dmast.eu/vc6#toLocation,Property
n113,transports,https://dmast.eu/vc6#transports,Property
n114,unit price,https://dmast.eu/vc6#unitPrice,Property
n115,equipment uptime (h),https://dmast.eu/vc6#uptimeHours,Property
n116,uses transport mode,https://dmast.eu/vc6#usesTransportMode,Property
n117,waste,https://dmast.eu/vc6#waste,Property
n118,weight,https://dmast.eu/vc6#weight,Property
